iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
,Eastern Africa,1965,,,,,,,,,,,,,,,,,,,20.54,,21.081,,,,,,,,,,6.048,0.0,,,0.0,6.048,0.0,0.0,,,,,,83.632,,85.834,,,,,,,0.0,,0.0,,,,,,,16.368,,16.799,,,,6.048,,,16.368,,16.799,,,,,,0.0,,0.0,,,,,63.092,,64.753,,,,,,,,0.0,,0.0,,,,,,102.632,,,,16.368,,16.799,,,,0.0,,0.0,,,,,0.0,,0.0,,
,Eastern Africa,1966,,,,,,,9.754,10.011,,,,,,,,,,16.363,21.777,3.45,24.53,,,,,,,,,,7.168,0.0,,,0.0,7.168,0.0,0.0,,,,,8.039,82.325,6.9,92.734,,,,,,,0.008,0.009,0.009,,,,,,18.521,17.675,3.111,19.91,,,,7.168,,18.521,17.675,3.111,19.91,,,,,,0.0,0.0,0.0,,,,5.314,60.54,3.441,68.194,,,,,,,,0.0,0.0,0.0,,,,,,112.644,,,18.521,17.675,3.111,19.91,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1967,,,,,,,2.949,3.322,,,,,,,,,,0.977,21.36,0.24,24.77,,,,,,,,,,7.011,0.0,,,0.0,7.011,0.0,0.0,,,,,4.053,83.207,3.758,96.492,,,,,,0.0,0.008,0.0,0.009,,,,,,-2.189,16.793,-0.436,19.474,,,,7.011,,-2.189,16.793,-0.436,19.474,,,,,,0.0,0.0,0.0,,,,5.159,61.839,3.518,71.712,,,,,,,,0.0,0.0,0.0,,,,,,115.966,,,-2.189,16.793,-0.436,19.474,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1968,,,,,,,4.145,4.807,,,,,,,,,,5.393,21.616,1.336,26.106,,,,,,,,,,7.198,0.0,,,0.0,7.198,0.0,0.0,,,,,4.443,83.445,4.287,100.779,,,,,,0.0,0.008,0.0,0.009,,,,,,2.669,16.555,0.52,19.994,,,,7.198,,2.669,16.555,0.52,19.994,,,,,,0.0,0.0,0.0,,,,4.115,61.822,2.951,74.664,,,,,,,,0.0,0.0,0.0,,,,,,120.773,,,2.669,16.555,0.52,19.994,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1969,,,,,,,4.645,5.61,,,,,,,,,,-2.997,20.037,-0.782,25.324,,,,,,,,,,7.912,0.0,,,0.0,7.912,0.0,0.0,,,,,3.598,82.61,3.626,104.405,,,,,,0.0,0.007,0.0,0.009,,,,,,9.921,17.39,1.984,21.978,,,,7.912,,9.921,17.39,1.984,21.978,,,,,,0.0,0.0,0.0,,,,5.905,62.566,4.409,79.072,,,,,,,,0.0,0.0,0.0,,,,,,126.383,,,9.921,17.39,1.984,21.978,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1970,,,,,,,13.028,16.465,,,,,,,,,,13.226,20.072,3.349,28.673,,,,,,,,,,11.34,0.0,,,0.0,11.34,0.0,0.0,,,,,6.649,77.948,6.942,111.347,,,,,,0.0,0.006,0.0,0.009,,,,,,43.328,22.052,9.522,31.5,,,,11.34,,43.328,22.052,9.522,31.5,,,,,,0.0,0.0,0.0,,,,4.544,57.87,3.593,82.665,,,,,,,,0.0,0.0,0.0,,,,,,142.847,,,43.328,22.052,9.522,31.5,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1971,,,,,,,7.229,10.326,,,,,,,,,,1.952,19.085,0.56,29.232,,,,,,,,,,8.903,0.0,,,0.126,9.029,0.0,0.0,,,,,15.038,83.626,16.745,128.092,,,,,,0.0,0.006,0.0,0.009,,,,,,-21.49,16.146,-6.769,24.731,,,,9.029,,-20.379,16.374,-6.419,25.081,,,,,,0.0,0.0,0.0,,,,19.579,64.535,16.185,98.851,,,,,,,,0.228,0.35,0.35,,,,,,153.173,,,-20.379,16.374,-6.419,25.081,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1972,,,,,,,4.862,7.448,,,,,,,,,,-6.702,16.98,-1.959,27.273,,,,,,,,,,10.891,0.0,,,0.127,11.018,0.0,0.0,,,,,1.501,80.945,1.922,130.014,,,,,,0.0,0.006,0.0,0.009,,,,,,22.332,18.835,5.523,30.254,,,,11.018,,22.031,19.055,5.526,30.606,,,,,,0.0,0.0,0.0,,,,3.926,63.959,3.881,102.732,,,,,,,0.794,0.22,0.003,0.353,,,,,,160.621,,,22.031,19.055,5.526,30.606,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1973,,,,,,,5.478,8.799,,,,,,,,,,9.831,17.681,2.681,29.954,,,,,,,,,,11.249,0.0,,,0.132,11.381,0.0,0.0,,,,,5.992,81.339,7.79,137.805,,,,,,0.0,0.005,0.0,0.009,,,,,,3.287,18.444,0.995,31.248,,,,11.381,,3.295,18.661,1.008,31.615,,,,,,0.0,0.0,0.0,,,,4.973,63.653,5.109,107.841,,,,,,,3.937,0.216,0.014,0.367,,,,,,169.419,,,3.295,18.661,1.008,31.615,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1974,,,,,,,3.674,6.225,,,,,,,,,,-7.927,15.702,-2.374,27.58,,,,,,,,,,14.268,0.0,,,0.136,14.404,0.0,0.0,,,,,-1.575,77.221,-2.17,135.634,,,,,,0.0,0.005,0.0,0.009,,,,,,26.83,22.564,8.384,39.632,,,,14.404,,26.554,22.779,8.395,40.01,,,,,,0.0,0.0,0.0,,,,0.189,61.514,0.204,108.045,,,,,,,3.03,0.215,0.011,0.378,,,,,,175.644,,,26.554,22.779,8.395,40.01,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
,Eastern Africa,1975,,,,,,,-2.454,-4.311,,,,,,,,,,-9.123,14.629,-2.516,25.064,,,,,,,,,,15.189,0.0,,,0.133,15.322,0.0,0.0,,,,,-5.059,75.159,-6.861,128.773,,,,,,0.0,0.005,0.0,0.009,,,,,,6.456,24.625,2.558,42.191,,,,15.322,,6.374,24.841,2.55,42.56,,,,,,0.0,0.0,0.0,,,,-4.022,60.525,-4.345,103.7,,,,,,,-2.206,0.216,-0.008,0.369,,,,,,171.333,,,6.374,24.841,2.55,42.56,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,
